id,code_bc,name,short_name,bic,country:id,ispb_number,compe_member,acc_number_format
res_bank_128,270,Sagitur Corretora de Câmbio Ltda.,SAGITUR CC LTDA,,base.br,61444949,0,%(acc_number)s
res_bank_129,271,"IB Corretora de Câmbio, Títulos e Valores Mobiliários S.A.",IB CCTVM S.A.,,base.br,27842177,0,%(acc_number)s
res_bank_130,272,AGK CORRETORA DE CAMBIO S.A.,AGK CC S.A.,,base.br,250699,0,%(acc_number)s
res_bank_131,273,Cooperativa de Crédito Rural de São Miguel do Oeste - Sulcredi/São Miguel,CCR DE SÃO MIGUEL DO OESTE,,base.br,8253539,0,%(acc_number)s
res_bank_132,274,MONEY PLUS SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORT,MONEY PLUS SCMEPP LTDA,,base.br,11581339,0,%(acc_number)s
res_bank_133,276,"Senff S.A. - Crédito, Financiamento e Investimento",SENFF S.A. - CFI,,base.br,11970623,0,%(acc_number)s
res_bank_134,278,Genial Investimentos Corretora de Valores Mobiliários S.A.,GENIAL INVESTIMENTOS CVM S.A.,,base.br,27652684,0,%(acc_number)s
res_bank_135,279,COOPERATIVA DE CREDITO RURAL DE PRIMAVERA DO LESTE,CCR DE PRIMAVERA DO LESTE,,base.br,26563270,1,%(acc_number)s
res_bank_136,280,"Avista S.A. Crédito, Financiamento e Investimento",AVISTA S.A. CFI,,base.br,23862762,0,%(acc_number)s
res_bank_137,281,Cooperativa de Crédito Rural Coopavel,CCR COOPAVEL,,base.br,76461557,1,%(acc_number)s
res_bank_138,283,RB CAPITAL INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LIMITADA,RB CAPITAL INVESTIMENTOS DTVM LTDA.,,base.br,89960090,0,%(acc_number)s
res_bank_139,285,Frente Corretora de Câmbio Ltda.,FRENTE CC LTDA.,,base.br,71677850,0,%(acc_number)s
res_bank_140,286,COOPERATIVA DE CRÉDITO RURAL DE OURO SULCREDI/OURO,CCR DE OURO,,base.br,7853842,0,%(acc_number)s
res_bank_141,288,CAROL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,CAROL DTVM LTDA.,,base.br,62237649,0,%(acc_number)s
res_bank_142,289,DECYSEO CORRETORA DE CAMBIO LTDA.,DECYSEO CC LTDA.,,base.br,94968518,0,%(acc_number)s
res_bank_143,290,Pagseguro Internet S.A.,PAGSEGURO,,base.br,8561701,0,%(acc_number)s
res_bank_144,292,BS2 Distribuidora de Títulos e Valores Mobiliários S.A.,BS2 DTVM S.A.,,base.br,28650236,0,%(acc_number)s
res_bank_145,293,Lastro RDV Distribuidora de Títulos e Valores Mobiliários Ltda.,LASTRO RDV DTVM LTDA,,base.br,71590442,0,%(acc_number)s
res_bank_146,296,VISION S.A. CORRETORA DE CAMBIO,VISION S.A. CC,,base.br,4062902,0,%(acc_number)s
